Initialize GranoEnv Instance
Full output on.

Pollution Threshold: 0.4
Social Threshold: 0.6

Vulnerability: 0.1
Farsightedness: 10
Time Horizon: 1000

Lifetime of the ecological dynamics: 1
Step Size: 0.0001
Integration Time: 0.1

Initial_Pollution: 0.0
Initial_Average_Inactivity 1.0

Model: ER
Nodes: 10
Average Degree: 10
Rewiring probability (only WS): 1.0

Average shortest path length is, 1.0
Clustering_coefficient: 1.0
Connected: True
Inactive_node_list: [9, 6, 5, 1, 8, 0, 3, 7, 4, 2]
Adjacency matrix: [[0. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 0. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 0. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 0. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 0. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 0. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 0. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 0. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 0. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 0.]]

Time, Pollution, Average Inactivity, Changing nodes
0,0.0,1.0, []
0.0001,9.999500016666385e-05,1.0,[]
0.0002,0.00019998000133325533,1.0,[]
0.00030000000000000003,0.0002999550044996413,1.0,[]
0.0004,0.0003999200106655776,1.0,[]
0.0005,0.000499875020830709,1.0,[]
0.0006000000000000001,0.0005998200359945693,1.0,[]
0.0007000000000000001,0.0006997550571565814,1.0,[]
0.0008000000000000001,0.0007996800853161679,1.0,[]
0.0009000000000000002,0.0008995951214725295,1.0,[]
0.0010000000000000002,0.000999500166624867,1.0,[]
0.0011000000000000003,0.0010993952217721592,1.0,[]
0.0012000000000000003,0.0011992802879133846,1.0,[]
0.0013000000000000004,0.0012991553660474109,1.0,[]
0.0014000000000000004,0.0013990204571729947,1.0,[]
0.0015000000000000005,0.0014988755622887817,1.0,[]
0.0016000000000000005,0.0015987206823933064,1.0,[]
0.0017000000000000006,0.0016985558184851035,1.0,[]
0.0018000000000000006,0.0017983809715623744,1.0,[]
0.0019000000000000006,0.0018981961426234317,1.0,[]
0.0020000000000000005,0.001998001332666477,1.0,[]
0.0021000000000000003,0.0020977965426896006,1.0,[]
0.0022,0.002197581773690671,1.0,[]
0.0023,0.002297357026667557,1.0,[]
0.0024,0.0023971223026179045,1.0,[]
0.0024999999999999996,0.0024968776025394712,1.0,[]
0.0025999999999999994,0.0025966229274299035,1.0,[]
0.0026999999999999993,0.0026963582782865148,1.0,[]
0.002799999999999999,0.0027960836561067293,1.0,[]
0.002899999999999999,0.0028957990618877494,1.0,[]
0.0029999999999999988,0.0029955044966267774,1.0,[]
0.0030999999999999986,0.0030951999613207937,1.0,[]
0.0031999999999999984,0.0031948854569667784,1.0,[]
0.0032999999999999982,0.003294560984561601,1.0,[]
0.003399999999999998,0.0033942265451020193,1.0,[]
0.003499999999999998,0.003493882139584792,1.0,[]
0.0035999999999999977,0.003593527769006344,1.0,[]
0.0036999999999999976,0.0036931634343631004,1.0,[]
0.0037999999999999974,0.0037927891366514865,1.0,[]
0.0038999999999999972,0.0038924048768678166,1.0,[]
0.0039999999999999975,0.0039920106560081825,1.0,[]
0.004099999999999998,0.0040916064750686765,1.0,[]
0.004199999999999998,0.0041911923350451685,1.0,[]
0.004299999999999998,0.00429076823693364,1.0,[]
0.0043999999999999985,0.004390334181729738,1.0,[]
0.004499999999999999,0.004489890170429223,1.0,[]
0.004599999999999999,0.004589436204027519,1.0,[]
0.004699999999999999,0.004688972283520165,1.0,[]
0.0048,0.004788498409902586,1.0,[]
0.0049,0.004888014584169986,1.0,[]
0.005,0.004987520807317458,1.0,[]
0.0051,0.005087017080340206,1.0,[]
0.005200000000000001,0.0051865034042331,1.0,[]
